phiabs (photons/s),phiPL (photons/s),PLQY (%),err_PLQY (%)
152732454836326.5,347593603414.1719,0.22758332784388588,0.0028593332387764833
214938057302777.34,1122071556000.0889,0.5220441508036231,0.004707580025408616
278155132980064.88,2489876299507.9385,0.8951394399349034,0.007616302650357728
412681070021332.5,6527275694800.371,1.581675576847506,0.01276941290646386
660492006676299.2,16105370816991.633,2.4383899659946557,0.020188965203115975
985174907354847.9,31515567679341.42,3.1989819720398036,0.026506901210768465
1482819727086454.5,57702278572456.25,3.8913886508533055,0.030974888538186272
2006762850299813.0,87357563239842.44,4.35315828309215,0.03523714532744788
3014190168293066.0,144232949493393.16,4.7851310448362385,0.040158726337976604
3843598201179076.5,194914253246238.4,5.071140193229505,0.041228340263948136
6109298193453059.0,327624825689758.44,5.362724413106122,0.044911345473786835
1.4657237654287758e+16,844775159513475.9,5.763535936570896,0.07271462907754993
2.4216305689692812e+16,1403505341367605.2,5.795703768163859,0.07312046882041846
4.697599148827628e+16,2648406734198324.0,5.637787836493632,0.07112815047223651
8.08424039565685e+16,4350786389420119.0,5.381812237742857,0.06789867972356611
1.0888233686042331e+17,5606750562888995.0,5.149366485471661,0.06496606911038265
1.3546564987316883e+17,6667655154721912.0,4.922026477534767,0.062097874215175
1.6004611053563898e+17,7554046717311857.0,4.719918960873295,0.05954802057158561
1.8371618376616576e+17,8384292295083385.0,4.56372003990401,0.0575773645844291
2.0629379207836058e+17,9066698745965186.0,4.395041971268435,0.05544926764370789
2.2723270301305738e+17,9735257445503712.0,4.284267764461834,0.05405170450747555
2.4689707154303347e+17,1.0212572485430538e+16,4.136368415228658,0.05218575859533815
